feature,importance_mean,model
gamma_nought_VH,0.25523268,gru
B9,0.158008575,gru
DVI,0.157438881,gru
B1,0.141838536,gru
B4,0.140563931,gru
NDLI,0.120954544,gru
SAVI,0.100557734,gru
OSAVI,0.095253083,gru
CVI,0.08852928,gru
SR,0.068981408,gru
B11,0.675757976,rf
B9,0.412515088,rf
NDLI,0.30838195,rf
EVI,0.131258413,rf
B10,0.086498449,rf
B8,0.069766448,rf
gamma_nought_VH,0.032485685,rf
B8A,0.02913868,rf
B12,0.027307169,rf
B5,0.007274235,rf
gamma_nought_VH,0.295672135,lstm
B1,0.178138656,lstm
B10,0.153716988,lstm
B4,0.146816157,lstm
B9,0.137543209,lstm
DVI,0.134354829,lstm
SAVI,0.116460966,lstm
B5,0.11308758,lstm
GNDVI,0.099476987,lstm
NDRE,0.093362863,lstm
